sgRNA,Gene,Endura,Addgene
sg_25594,KIRREL2,89.10586422751246,82.94682975290024
sg_23456,IMMT,498.2959223002233,487.5655114743648
sg_33595,OR10G6,296.1898838847481,224.56336835541285
sg_54701,TOR3A,71.18513175717476,141.6165386025126
sg_48934,STARD3NL,291.21190264298764,311.5563849255277
sg_17232,FNDC9,12.942751228577228,0.0
sg_26418,LFNG,32.35687807144307,68.78517589264898
sg_22896,IGSF6,126.440723540716,123.4086979250467
sg_12263,DCAKD,95.57723984180107,78.9006429356856
sg_53897,TMEM8C,181.69631532425726,190.17078040908837
sg_39220,PTAFR,259.8506208198967,356.06443991488885
sg_25312,KHDC1,167.26016972315188,155.77819246276385
sg_23375,IL6R,296.1898838847481,200.28624745212497
sg_11399,CTRB2,87.61246985498431,105.20085724758079
sg_44024,SLC15A2,151.33062974951835,123.4086979250467
sg_55137,TRIM59,305.15025011991696,291.3254508394545
sg_10098,CNPPD1,255.86823582648827,297.39473106527646
sg_13122,DNAJB14,113.49797231213877,113.29323088201008
sg_58272,ZDHHC8,320.0841938451984,380.34156081817673
sg_45800,SLC35G2,402.7186824584222,337.8565992374229
sg_28227,LYZL2,296.1898838847481,364.15681354931814
sg_50876,THY1,175.22493970996862,155.77819246276385
sg_56245,UGT1A7,296.6876820089241,267.0483299361666
sg_5710,C3AR1,148.34384100446206,173.98603314022978
sg_11566,CX3CL1,123.45393479565972,190.17078040908837
sg_50927,TIMM21,177.71393033084885,127.45488474226134
sg_7559,CD48,216.0443858924045,234.67883539844945
sg_20205,GPR68,173.23374721326445,236.7019288070568
sg_23836,ITGAL,62.2247655220059,82.94682975290024
sg_27731,LRRN1,194.63906655283446,214.44790131237622
sg_55066,TRGC2,178.70952657920097,121.38560451643937
sg_13914,EBPL,231.973925866038,155.77819246276385
sg_17518,FUT8,79.64769986816756,76.87754952707827
sg_46872,SLC6A2,73.67412237805499,66.76208248404166
sg_20991,GYPC,62.72256364618195,99.13157702175882
sg_23689,ITFG3,55.75338990771729,82.94682975290024
sg_45822,SLC35G6,144.3614560110537,141.6165386025126
sg_30359,MS4A18,221.52016525834102,293.34854424806184
sg_42145,SCD,226.49814650010148,252.88667607591537
sg_9401,CLDN7,316.10180885179,271.09451675338124
sg_15684,FAIM2,429.1019830397527,426.87270921614515
sg_8371,CECR1,601.3401340046651,637.2744237113067
sg_48411,SPRY4,276.7757570418823,220.5171815381982
sg_37814,PLAU,220.02677088581288,260.97904971034467
sg_44551,SLC22A18,73.17632425387895,82.94682975290024
sg_51587,TMEM100,86.61687360663223,127.45488474226134
sg_54488,TNFRSF9,408.6922599485348,343.9258794632449
sg_26664,LIM2,539.1153684826592,473.4038576141136
sg_21963,HSD11B1L,80.64329611651965,89.01610997872221
sg_55073,TRHDE,416.1592318111755,345.9489728718522
sg_30839,MYRF,404.7098749551264,495.6578851087941
sg_3973,AXL,141.3746672659974,159.8243792799785
sg_51338,TMC5,154.8152166187507,196.24006063491032
sg_32116,nontargeting,386.7891424847887,364.15681354931814
sg_22043,HSD3B2,144.85925413522975,89.01610997872221
sg_58053,ZDHHC12,73.67412237805499,66.76208248404166
sg_54876,TPTE,212.06200089899613,252.88667607591537
sg_39760,PTPRZ1,631.2080214552279,600.8587423563749
sg_38224,PMP22,242.427686473735,289.30235743084717
sg_56580,URGCP,63.71815989453405,70.8082693012563
sg_1084,ADAM2,95.07944171762502,131.50107155947597
sg_5289,C16orf58,54.25999553518915,46.53114839796843
sg_33390,OMA1,375.3397856287396,331.78731901160097
sg_5400,C19orf26,201.1104421671231,263.00214311895195
sg_13181,DNAJC14,99.55962483520945,78.9006429356856
sg_36697,PCNXL4,131.9165029066525,222.5402749468055
sg_44406,SLC1A6,123.95173291983576,141.6165386025126
sg_49294,STX7,568.983255933222,572.5354346358724
sg_57109,VSIG10,201.1104421671231,131.50107155947597
sg_35486,ORM1,149.8372353769902,200.28624745212497
sg_28247,LZTFL1,321.57758821772654,530.0504730551186
